player,attack_player_id,attack_apps,attack_mins_played,attack_goals,attack_xg,attack_goals_vs_xg,attack_shots,attack_shots_on_target,attack_shot_conv,attack_xg_per_shot,attack_first_name,attack_last_name,attack_date_of_birth,attack_age,attack_team_id,attack_shirt_number,attack_squad_position,attack_squad_position_detailed,attack_player_uuid,attack_team_uuid,attack_contestantName,attack_contestantClubName,attack_contestantShortName,attack_contestantCode,carries_carries,carries_carry_distance,carries_progressive_carries,carries_progressive_distance,carries_shot_ending,carries_goal_ending,carries_chance_ending,carries_assist_ending,carries_dist_per_carry,carries_dist_per_progressive_carry,defending_tackles,defending_interceptions,defending_recoveries,defending_blocks,defending_clearances,defending_ground_duels,defending_ground_duels_won,defending_ground_duel_perc,defending_aerial_duels,defending_aerial_duels_won,defending_aerial_duel_perc,goalkeeping_team_mins,goalkeeping_team_mins_perc,goalkeeping_ogs,goalkeeping_goals_conceded,goalkeeping_saves_made,goalkeeping_save_perc,goalkeeping_goals_prevented,goalkeeping_goals_prevented_rate,goalkeeping_xgot_conceded,possession_chanceCreation_player_id,possession_chanceCreation_mins_played,possession_chanceCreation_apps,possession_chanceCreation_chances_created,possession_chanceCreation_op_chances_created,possession_chanceCreation_chances_per_100_pass,possession_chanceCreation_chances_sp_op_ratio,possession_chanceCreation_xa,possession_chanceCreation_op_xa,possession_chanceCreation_assists,possession_chanceCreation_op_assists,possession_chanceCreation_first_name,possession_chanceCreation_last_name,possession_chanceCreation_date_of_birth,possession_chanceCreation_age,possession_chanceCreation_team_id,possession_chanceCreation_shirt_number,possession_chanceCreation_squad_position,possession_chanceCreation_squad_position_detailed,possession_chanceCreation_player_uuid,possession_chanceCreation_team_uuid,possession_chanceCreation_contestantName,possession_chanceCreation_contestantClubName,possession_chanceCreation_contestantShortName,possession_chanceCreation_contestantCode,possession_passing_player_id,possession_passing_mins_played,possession_passing_apps,possession_passing_passes,possession_passing_successful_passes,possession_passing_pass_perc,possession_passing_total_final_third_passes,possession_passing_successful_final_third_passes,possession_passing_ft_pass_perc,possession_passing_op_crosses,possession_passing_successful_op_crosses,possession_passing_cross_perc,possession_passing_through_balls,possession_passing_successful_through_balls,possession_passing_through_ball_perc,possession_passing_first_name,possession_passing_last_name,possession_passing_date_of_birth,possession_passing_age,possession_passing_team_id,possession_passing_shirt_number,possession_passing_squad_position,possession_passing_squad_position_detailed,possession_passing_player_uuid,possession_passing_team_uuid,possession_passing_contestantName,possession_passing_contestantClubName,possession_passing_contestantShortName,possession_passing_contestantCode,opta_player_id,opta_player_uuid,opta_team_id,opta_team_uuid
Abdoul Koné,657512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoul,Koné,2005-04-22,21.4,6339.0,2.0,Defender,Central Defender,657512,9gefq4dz9b2hl8rqrxwrlrzmp,RasenBallsport Leipzig,RB Leipzig,Leipzig,RBL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,657512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoul,Koné,2005-04-22,21.4,6339.0,2.0,Defender,Central Defender,657512,9gefq4dz9b2hl8rqrxwrlrzmp,RasenBallsport Leipzig,RB Leipzig,Leipzig,RBL,657512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoul,Koné,2005-04-22,21.4,6339.0,2.0,Defender,Central Defender,657512,9gefq4dz9b2hl8rqrxwrlrzmp,RasenBallsport Leipzig,RB Leipzig,Leipzig,RBL,657512,657512,6339,9gefq4dz9b2hl8rqrxwrlrzmp
Adam Daghim,575415.0,2.0,177.0,1.0,0.12,0.88,4.0,3.0,25.0,0.03,Adam,Daghim,2005-09-28,20.97,1902.0,14.0,Forward,Winger,17iz3i6kzdxc115bdlgcgqdck,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,16.0,226.276,13.0,163.065,0.0,0.0,1.0,0.0,14.142,12.543,3.0,4.0,3.0,0.0,1.0,16.0,4.0,25.0,4.0,4.0,100.0,,,,,,,,,,575415.0,177.0,2.0,3.0,3.0,4.44,0.0,0.324,0.324,1.0,1.0,Adam,Daghim,2005-09-28,20.97,1902.0,14.0,Forward,Winger,17iz3i6kzdxc115bdlgcgqdck,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,575415.0,177.0,2.0,45.0,34.0,75.56,25.0,16.0,64.0,12.0,3.0,25.0,2.0,1.0,50.0,Adam,Daghim,2005-09-28,20.97,1902.0,14.0,Forward,Winger,17iz3i6kzdxc115bdlgcgqdck,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,575415,17iz3i6kzdxc115bdlgcgqdck,1902,4l9mrqzmajz5crzlz50mtbt6x
Adam Hlozek,467008.0,2.0,126.0,0.0,0.31,-0.31,4.0,1.0,0.0,0.08,Adam,Hlozek,2002-07-25,24.15,1902.0,10.0,Forward,Second Striker,e4vr28e9cbq3q5nux1jlpuuei,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,14.0,174.827,8.0,121.065,1.0,0.0,0.0,0.0,12.488,15.133,2.0,0.0,7.0,0.0,2.0,10.0,5.0,50.0,9.0,3.0,33.333,,,,,,,,,,467008.0,126.0,2.0,1.0,1.0,3.85,0.0,0.09,0.09,0.0,0.0,Adam,Hlozek,2002-07-25,24.15,1902.0,10.0,Forward,Second Striker,e4vr28e9cbq3q5nux1jlpuuei,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,467008.0,126.0,2.0,27.0,24.0,88.89,13.0,12.0,92.31,2.0,0.0,0.0,0.0,0.0,0.0,Adam,Hlozek,2002-07-25,24.15,1902.0,10.0,Forward,Second Striker,e4vr28e9cbq3q5nux1jlpuuei,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,467008,e4vr28e9cbq3q5nux1jlpuuei,1902,4l9mrqzmajz5crzlz50mtbt6x
Adil Aouchiche,465676.0,2.0,170.0,0.0,0.23,-0.23,3.0,2.0,0.0,0.08,Adil,Aouchiche,2002-07-15,24.18,167.0,24.0,Midfielder,0,2qkesslfmzmgt7igvgosixg8a,cz4a6wmzx2obyisadhgaccx7b,FC Schalke 04,Schalke 04,Schalke 04,S04,22.0,249.067,12.0,135.765,1.0,0.0,2.0,0.0,11.321,11.314,2.0,5.0,10.0,0.0,3.0,10.0,3.0,30.0,6.0,3.0,50.0,,,,,,,,,,465676.0,170.0,2.0,4.0,3.0,6.38,25.0,0.44,0.399,0.0,0.0,Adil,Aouchiche,2002-07-15,24.18,167.0,24.0,Midfielder,0,2qkesslfmzmgt7igvgosixg8a,cz4a6wmzx2obyisadhgaccx7b,FC Schalke 04,Schalke 04,Schalke 04,S04,465676.0,170.0,2.0,49.0,37.0,75.51,23.0,15.0,65.22,1.0,0.0,0.0,0.0,0.0,0.0,Adil,Aouchiche,2002-07-15,24.18,167.0,24.0,Midfielder,0,2qkesslfmzmgt7igvgosixg8a,cz4a6wmzx2obyisadhgaccx7b,FC Schalke 04,Schalke 04,Schalke 04,S04,465676,2qkesslfmzmgt7igvgosixg8a,167,cz4a6wmzx2obyisadhgaccx7b
Afonso Moreira,551191.0,2.0,175.0,0.0,0.65,-0.65,5.0,2.0,0.0,0.13,Afonso,Bastardo Moreira,2005-03-19,21.5,164.0,9.0,Forward,Winger,4hhwub45239nculr9sowalr10,7ad69ngbpjuyzv96drf8d9sn2,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bayer 04,B04,26.0,355.683,14.0,192.36,2.0,0.0,0.0,0.0,13.68,13.74,2.0,0.0,1.0,0.0,3.0,14.0,7.0,50.0,5.0,0.0,0.0,,,,,,,,,,551191.0,175.0,2.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.0,Afonso,Bastardo Moreira,2005-03-19,21.5,164.0,9.0,Forward,Winger,4hhwub45239nculr9sowalr10,7ad69ngbpjuyzv96drf8d9sn2,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bayer 04,B04,551191.0,175.0,2.0,53.0,43.0,81.13,26.0,21.0,80.77,6.0,0.0,0.0,0.0,0.0,0.0,Afonso,Bastardo Moreira,2005-03-19,21.5,164.0,9.0,Forward,Winger,4hhwub45239nculr9sowalr10,7ad69ngbpjuyzv96drf8d9sn2,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bayer 04,B04,551191,4hhwub45239nculr9sowalr10,164,7ad69ngbpjuyzv96drf8d9sn2
Albert Grønbæk,494779.0,2.0,180.0,0.0,0.1,-0.1,3.0,2.0,0.0,0.03,Albert,Grønbæk,2001-05-23,25.32,161.0,11.0,Midfielder,Attacking Midfielder,biuovem90utcyzda58nixtaay,75xi6hloabmnjn2kzgj1g8h1s,Hamburger SV,Hamburger SV,Hamburg,HSV,17.0,268.634,10.0,178.815,1.0,0.0,0.0,0.0,15.802,17.882,2.0,1.0,5.0,0.0,0.0,19.0,12.0,63.158,0.0,0.0,0.0,,,,,,,,,,494779.0,180.0,2.0,0.0,0.0,0.0,0.0,0.105,0.097,0.0,0.0,Albert,Grønbæk,2001-05-23,25.32,161.0,11.0,Midfielder,Attacking Midfielder,biuovem90utcyzda58nixtaay,75xi6hloabmnjn2kzgj1g8h1s,Hamburger SV,Hamburger SV,Hamburg,HSV,494779.0,180.0,2.0,63.0,47.0,74.6,15.0,8.0,53.33,3.0,1.0,33.33,0.0,0.0,0.0,Albert,Grønbæk,2001-05-23,25.32,161.0,11.0,Midfielder,Attacking Midfielder,biuovem90utcyzda58nixtaay,75xi6hloabmnjn2kzgj1g8h1s,Hamburger SV,Hamburger SV,Hamburg,HSV,494779,biuovem90utcyzda58nixtaay,161,75xi6hloabmnjn2kzgj1g8h1s
Albert Sambi Lokonga,437742.0,1.0,90.0,0.0,0.05,-0.05,1.0,0.0,0.0,0.05,Albert,Sambi Lokonga,1999-10-22,26.91,161.0,6.0,Midfielder,Central Midfielder,375gnysvjk9bvq02ex1lkmynd,75xi6hloabmnjn2kzgj1g8h1s,Hamburger SV,Hamburger SV,Hamburg,HSV,12.0,108.025,6.0,50.925,0.0,0.0,1.0,0.0,9.002,8.487,2.0,0.0,3.0,0.0,1.0,9.0,6.0,66.667,0.0,0.0,0.0,,,,,,,,,,437742.0,90.0,1.0,2.0,2.0,3.28,0.0,0.206,0.205,0.0,0.0,Albert,Sambi Lokonga,1999-10-22,26.91,161.0,6.0,Midfielder,Central Midfielder,375gnysvjk9bvq02ex1lkmynd,75xi6hloabmnjn2kzgj1g8h1s,Hamburger SV,Hamburger SV,Hamburg,HSV,437742.0,90.0,1.0,65.0,57.0,87.69,11.0,10.0,90.91,1.0,1.0,100.0,0.0,0.0,0.0,Albert,Sambi Lokonga,1999-10-22,26.91,161.0,6.0,Midfielder,Central Midfielder,375gnysvjk9bvq02ex1lkmynd,75xi6hloabmnjn2kzgj1g8h1s,Hamburger SV,Hamburger SV,Hamburg,HSV,437742,375gnysvjk9bvq02ex1lkmynd,161,75xi6hloabmnjn2kzgj1g8h1s
Albian Hajdari,514116.0,2.0,177.0,0.0,0.02,-0.02,1.0,0.0,0.0,0.02,Albian,Hajdari,2003-05-18,23.33,1902.0,21.0,Defender,Central Defender,4z9prwdr22kb7vpemekkzqooa,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,20.0,183.323,10.0,86.73,1.0,0.0,0.0,0.0,9.166,8.673,1.0,3.0,10.0,2.0,6.0,11.0,3.0,27.273,6.0,5.0,83.333,,,,,,,,,,514116.0,177.0,2.0,0.0,0.0,0.0,0.0,0.216,0.216,0.0,0.0,Albian,Hajdari,2003-05-18,23.33,1902.0,21.0,Defender,Central Defender,4z9prwdr22kb7vpemekkzqooa,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,514116.0,177.0,2.0,122.0,107.0,87.7,24.0,18.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,Albian,Hajdari,2003-05-18,23.33,1902.0,21.0,Defender,Central Defender,4z9prwdr22kb7vpemekkzqooa,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,514116,4z9prwdr22kb7vpemekkzqooa,1902,4l9mrqzmajz5crzlz50mtbt6x
Aleix García,178871.0,2.0,180.0,0.0,0.15,-0.15,4.0,2.0,0.0,0.04,Aleix,García,1997-06-28,29.22,164.0,24.0,Midfielder,Central Midfielder,2udtmz4lvh4vil16mxvo0j4l,7ad69ngbpjuyzv96drf8d9sn2,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bayer 04,B04,42.0,462.761,21.0,180.18,0.0,0.0,1.0,0.0,11.018,8.58,3.0,2.0,12.0,0.0,1.0,5.0,4.0,80.0,2.0,1.0,50.0,,,,,,,,,,178871.0,180.0,2.0,5.0,2.0,1.05,60.0,0.444,0.241,0.0,0.0,Aleix,García,1997-06-28,29.22,164.0,24.0,Midfielder,Central Midfielder,2udtmz4lvh4vil16mxvo0j4l,7ad69ngbpjuyzv96drf8d9sn2,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bayer 04,B04,178871.0,180.0,2.0,199.0,185.0,92.96,55.0,50.0,90.91,3.0,0.0,0.0,0.0,0.0,0.0,Aleix,García,1997-06-28,29.22,164.0,24.0,Midfielder,Central Midfielder,2udtmz4lvh4vil16mxvo0j4l,7ad69ngbpjuyzv96drf8d9sn2,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bayer 04,B04,178871,2udtmz4lvh4vil16mxvo0j4l,164,7ad69ngbpjuyzv96drf8d9sn2
Aleksandar Pavlovic,515675.0,2.0,158.0,1.0,0.97,0.03,3.0,2.0,33.33,0.32,Aleksandar,Pavlovic,2004-05-03,22.37,156.0,45.0,Midfielder,Defensive Midfielder,9u0jnvttp25l5bp2pvx7pces,apoawtpvac4zqlancmvw4nk4o,FC Bayern München,Bayern München,FC Bayern,FCB,50.0,504.842,12.0,139.65,0.0,0.0,0.0,0.0,10.097,11.638,1.0,1.0,9.0,0.0,2.0,13.0,5.0,38.462,3.0,2.0,66.667,,,,,,,,,,515675.0,158.0,2.0,4.0,4.0,2.27,0.0,0.447,0.447,0.0,0.0,Aleksandar,Pavlovic,2004-05-03,22.37,156.0,45.0,Midfielder,Defensive Midfielder,9u0jnvttp25l5bp2pvx7pces,apoawtpvac4zqlancmvw4nk4o,FC Bayern München,Bayern München,FC Bayern,FCB,515675.0,158.0,2.0,177.0,157.0,88.7,68.0,60.0,88.24,0.0,0.0,0.0,4.0,1.0,25.0,Aleksandar,Pavlovic,2004-05-03,22.37,156.0,45.0,Midfielder,Defensive Midfielder,9u0jnvttp25l5bp2pvx7pces,apoawtpvac4zqlancmvw4nk4o,FC Bayern München,Bayern München,FC Bayern,FCB,515675,9u0jnvttp25l5bp2pvx7pces,156,apoawtpvac4zqlancmvw4nk4o
Alessio Castro-Montes,226858.0,2.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alessio,Castro-Montes,1997-05-17,29.34,387.0,17.0,Midfielder,Attacking Midfielder,7dayrhr0c60zbc1b6lig8pm8l,8q1ul09cygzswb7tb456bmifv,1. FC Köln,Köln,Köln,KOE,20.0,235.843,15.0,162.435,0.0,0.0,0.0,0.0,11.792,10.829,5.0,2.0,12.0,0.0,7.0,10.0,7.0,70.0,5.0,2.0,40.0,,,,,,,,,,226858.0,179.0,2.0,3.0,0.0,0.0,100.0,0.188,0.045,0.0,0.0,Alessio,Castro-Montes,1997-05-17,29.34,387.0,17.0,Midfielder,Attacking Midfielder,7dayrhr0c60zbc1b6lig8pm8l,8q1ul09cygzswb7tb456bmifv,1. FC Köln,Köln,Köln,KOE,226858.0,179.0,2.0,49.0,33.0,67.35,17.0,11.0,64.71,6.0,1.0,16.67,0.0,0.0,0.0,Alessio,Castro-Montes,1997-05-17,29.34,387.0,17.0,Midfielder,Attacking Midfielder,7dayrhr0c60zbc1b6lig8pm8l,8q1ul09cygzswb7tb456bmifv,1. FC Köln,Köln,Köln,KOE,226858,7dayrhr0c60zbc1b6lig8pm8l,387,8q1ul09cygzswb7tb456bmifv
Alexander Schwolow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,50.0,0.0,0.0,1.0,100.0,0.05,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94196,dvo2f7d0yosn404wsrsgeprdh,810,1c7qokc1j5z50cjj4tcu32haa
Alexis Claude-Maurice,218357.0,1.0,29.0,1.0,0.08,0.92,3.0,1.0,33.33,0.03,Alexis,Claude-Maurice,1998-06-06,28.28,1772.0,20.0,Midfielder,Attacking Midfielder,eolso19u03zxw2pca2i95v4dl,ex3psl8e3ajeypwjy4xfltpx6,FC Augsburg,Augsburg,Augsburg,FCA,4.0,33.299,2.0,26.775,1.0,1.0,1.0,0.0,8.325,13.388,1.0,0.0,2.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,,,,,,,,,,218357.0,29.0,1.0,2.0,2.0,16.67,0.0,0.245,0.244,0.0,0.0,Alexis,Claude-Maurice,1998-06-06,28.28,1772.0,20.0,Midfielder,Attacking Midfielder,eolso19u03zxw2pca2i95v4dl,ex3psl8e3ajeypwjy4xfltpx6,FC Augsburg,Augsburg,Augsburg,FCA,218357.0,29.0,1.0,13.0,11.0,84.62,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexis,Claude-Maurice,1998-06-06,28.28,1772.0,20.0,Midfielder,Attacking Midfielder,eolso19u03zxw2pca2i95v4dl,ex3psl8e3ajeypwjy4xfltpx6,FC Augsburg,Augsburg,Augsburg,FCA,218357,eolso19u03zxw2pca2i95v4dl,1772,ex3psl8e3ajeypwjy4xfltpx6
Aljoscha Kemlein,575397.0,2.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aljoscha,Kemlein,2004-08-02,22.12,816.0,6.0,Midfielder,0,64vve6gzn5mwodos6ynufwa5m,a8d2gb2nag8fy0itbuxmcibh2,1. FC Union Berlin,Union Berlin,Union Berlin,FCU,19.0,174.847,6.0,9.66,0.0,0.0,0.0,0.0,9.202,1.61,3.0,1.0,10.0,0.0,11.0,6.0,3.0,50.0,2.0,2.0,100.0,,,,,,,,,,575397.0,138.0,2.0,0.0,0.0,0.0,0.0,0.026,0.026,0.0,0.0,Aljoscha,Kemlein,2004-08-02,22.12,816.0,6.0,Midfielder,0,64vve6gzn5mwodos6ynufwa5m,a8d2gb2nag8fy0itbuxmcibh2,1. FC Union Berlin,Union Berlin,Union Berlin,FCU,575397.0,138.0,2.0,74.0,57.0,77.03,21.0,12.0,57.14,2.0,0.0,0.0,0.0,0.0,0.0,Aljoscha,Kemlein,2004-08-02,22.12,816.0,6.0,Midfielder,0,64vve6gzn5mwodos6ynufwa5m,a8d2gb2nag8fy0itbuxmcibh2,1. FC Union Berlin,Union Berlin,Union Berlin,FCU,575397,64vve6gzn5mwodos6ynufwa5m,816,a8d2gb2nag8fy0itbuxmcibh2
Alphonso Davies,225059.0,2.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alphonso,Davies,2000-11-02,25.87,156.0,19.0,Defender,Full Back,582uvj0i3dvm0zwbou9q68pgp,apoawtpvac4zqlancmvw4nk4o,FC Bayern München,Bayern München,FC Bayern,FCB,39.0,382.657,23.0,220.605,0.0,0.0,4.0,0.0,9.812,9.592,4.0,1.0,13.0,0.0,4.0,16.0,11.0,68.75,6.0,4.0,66.667,,,,,,,,,,225059.0,164.0,2.0,5.0,5.0,4.13,0.0,0.793,0.793,0.0,0.0,Alphonso,Davies,2000-11-02,25.87,156.0,19.0,Defender,Full Back,582uvj0i3dvm0zwbou9q68pgp,apoawtpvac4zqlancmvw4nk4o,FC Bayern München,Bayern München,FC Bayern,FCB,225059.0,164.0,2.0,122.0,106.0,86.89,56.0,43.0,76.79,2.0,0.0,0.0,2.0,2.0,100.0,Alphonso,Davies,2000-11-02,25.87,156.0,19.0,Defender,Full Back,582uvj0i3dvm0zwbou9q68pgp,apoawtpvac4zqlancmvw4nk4o,FC Bayern München,Bayern München,FC Bayern,FCB,225059,582uvj0i3dvm0zwbou9q68pgp,156,apoawtpvac4zqlancmvw4nk4o
Amara Condé,213459.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amara,Condé,1997-01-06,29.7,4071.0,6.0,Midfielder,Central Midfielder,7lnq98x95vcb4kp6wpfgwd3v9,cig09m7g3wx983agnqgovggoh,SV 07 Elversberg,Elversberg,Elversberg,ELV,1.0,6.732,1.0,6.72,0.0,0.0,0.0,0.0,6.732,6.72,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,,,,,,,,,,213459.0,2.0,1.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,Amara,Condé,1997-01-06,29.7,4071.0,6.0,Midfielder,Central Midfielder,7lnq98x95vcb4kp6wpfgwd3v9,cig09m7g3wx983agnqgovggoh,SV 07 Elversberg,Elversberg,Elversberg,ELV,213459.0,2.0,1.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Amara,Condé,1997-01-06,29.7,4071.0,6.0,Midfielder,Central Midfielder,7lnq98x95vcb4kp6wpfgwd3v9,cig09m7g3wx983agnqgovggoh,SV 07 Elversberg,Elversberg,Elversberg,ELV,213459,7lnq98x95vcb4kp6wpfgwd3v9,4071,cig09m7g3wx983agnqgovggoh
Ameen Al-Dakhil,487968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ameen,Al-Dakhil,2002-03-06,24.53,169.0,2.0,Defender,Central Defender,487968,3dwlvz6cl4lcavvrg0y2dycrt,VfB Stuttgart 1893,Stuttgart,Stuttgart,VFB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,487968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ameen,Al-Dakhil,2002-03-06,24.53,169.0,2.0,Defender,Central Defender,487968,3dwlvz6cl4lcavvrg0y2dycrt,VfB Stuttgart 1893,Stuttgart,Stuttgart,VFB,487968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ameen,Al-Dakhil,2002-03-06,24.53,169.0,2.0,Defender,Central Defender,487968,3dwlvz6cl4lcavvrg0y2dycrt,VfB Stuttgart 1893,Stuttgart,Stuttgart,VFB,487968,487968,169,3dwlvz6cl4lcavvrg0y2dycrt
Amos Pieper,436217.0,2.0,180.0,0.0,0.04,-0.04,2.0,1.0,0.0,0.02,Amos,Pieper,1998-01-17,28.67,171.0,5.0,Defender,Central Defender,1psr9ra8k9j4r94p1xixagzbp,cu0eztmjcsbydyp53aleznorw,SV Werder Bremen,Werder Bremen,Bremen,SVW,12.0,101.647,4.0,39.9,0.0,0.0,0.0,0.0,8.471,9.975,6.0,1.0,1.0,3.0,11.0,9.0,8.0,88.889,5.0,3.0,60.0,,,,,,,,,,436217.0,180.0,2.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,Amos,Pieper,1998-01-17,28.67,171.0,5.0,Defender,Central Defender,1psr9ra8k9j4r94p1xixagzbp,cu0eztmjcsbydyp53aleznorw,SV Werder Bremen,Werder Bremen,Bremen,SVW,436217.0,180.0,2.0,97.0,85.0,87.63,7.0,6.0,85.71,0.0,0.0,0.0,0.0,0.0,0.0,Amos,Pieper,1998-01-17,28.67,171.0,5.0,Defender,Central Defender,1psr9ra8k9j4r94p1xixagzbp,cu0eztmjcsbydyp53aleznorw,SV Werder Bremen,Werder Bremen,Bremen,SVW,436217,1psr9ra8k9j4r94p1xixagzbp,171,cu0eztmjcsbydyp53aleznorw
Andrej Kramaric,68582.0,2.0,20.0,0.0,0.02,-0.02,1.0,0.0,0.0,0.02,Andrej,Kramaric,1991-06-19,35.25,1902.0,27.0,Forward,Striker,ew18qvvupaejxubhqmxmbd39x,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,1.0,8.609,0.0,-8.19,0.0,0.0,0.0,0.0,8.609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,68582.0,20.0,2.0,0.0,0.0,0.0,0.0,0.013,0.013,0.0,0.0,Andrej,Kramaric,1991-06-19,35.25,1902.0,27.0,Forward,Striker,ew18qvvupaejxubhqmxmbd39x,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,68582.0,20.0,2.0,14.0,11.0,78.57,7.0,4.0,57.14,0.0,0.0,0.0,0.0,0.0,0.0,Andrej,Kramaric,1991-06-19,35.25,1902.0,27.0,Forward,Striker,ew18qvvupaejxubhqmxmbd39x,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,68582,ew18qvvupaejxubhqmxmbd39x,1902,4l9mrqzmajz5crzlz50mtbt6x
Andrija Maksimovic,620473.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrija,Maksimovic,2007-06-05,19.28,6339.0,30.0,Midfielder,Attacking Midfielder,1ghyb2ozmwm2o9bxzuxzw7yfo,9gefq4dz9b2hl8rqrxwrlrzmp,RasenBallsport Leipzig,RB Leipzig,Leipzig,RBL,4.0,38.603,3.0,21.21,0.0,0.0,1.0,1.0,9.651,7.07,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,,,,,,,,,,620473.0,6.0,1.0,2.0,2.0,11.11,0.0,0.476,0.476,1.0,1.0,Andrija,Maksimovic,2007-06-05,19.28,6339.0,30.0,Midfielder,Attacking Midfielder,1ghyb2ozmwm2o9bxzuxzw7yfo,9gefq4dz9b2hl8rqrxwrlrzmp,RasenBallsport Leipzig,RB Leipzig,Leipzig,RBL,620473.0,6.0,1.0,9.0,7.0,77.78,7.0,5.0,71.43,1.0,1.0,100.0,0.0,0.0,0.0,Andrija,Maksimovic,2007-06-05,19.28,6339.0,30.0,Midfielder,Attacking Midfielder,1ghyb2ozmwm2o9bxzuxzw7yfo,9gefq4dz9b2hl8rqrxwrlrzmp,RasenBallsport Leipzig,RB Leipzig,Leipzig,RBL,620473,1ghyb2ozmwm2o9bxzuxzw7yfo,6339,9gefq4dz9b2hl8rqrxwrlrzmp
