playerId,playerName,teamId,h_a,matchId,passCornerAccurate,passCornerInaccurate,passFreekickAccurate,passFreekickInaccurate,passCrossAccurate,passCrossInaccurate
81523.0,Mathew Ryan,832,a,1993901,0,0,0,1,0,0
90115.0,Aïssa Mandi,832,a,1993901,0,0,3,1,0,0
129620.0,Jeremy Toljan,832,a,1993901,0,0,0,0,0,1
140772.0,Pere Milla,70,h,1993901,0,0,0,0,0,1
259393.0,Marko Dmitrovic,70,h,1993901,0,0,1,0,0,0
335696.0,Edu Expósito,70,h,1993901,0,0,0,1,0,2
344200.0,Unai Núñez,70,h,1993901,0,0,2,0,0,0
362623.0,Oriol Rey,832,a,1993901,0,0,1,0,0,0
374813.0,Manu Sánchez,832,a,1993901,0,0,1,0,0,0
382157.0,Pol Lozano,70,h,1993901,0,0,0,0,0,0
383780.0,Adrián de la Fuente,832,a,1993901,0,0,5,0,0,1
395708.0,Víctor García,832,a,1993901,0,0,0,0,1,3
398922.0,Tyrhys Dolan,70,h,1993901,0,0,0,0,0,2
401173.0,Urko González de Zárate,70,h,1993901,0,0,1,0,0,0
406937.0,Carlos Álvarez,832,a,1993901,0,0,0,0,0,0
407567.0,Iván Romero,832,a,1993901,0,0,0,0,0,0
413346.0,Jon Ander Olasagasti,832,a,1993901,0,1,0,2,0,2
419935.0,Clemens Riedel,70,h,1993901,0,0,0,0,0,0
430451.0,Jofre Carreras,70,h,1993901,0,0,0,0,0,0
445095.0,Karl Etta Eyong,832,a,1993901,0,0,0,0,0,0
448296.0,Roberto Fernández,70,h,1993901,0,0,0,0,0,0
449410.0,Omar El Hilali,70,h,1993901,0,0,0,0,1,3
464541.0,Marcos Fernández,70,h,1993901,0,0,0,0,0,0
467181.0,Enzo Bardeli,832,a,1993901,0,0,0,0,0,0
468761.0,Cala,70,h,1993901,0,0,0,0,0,0
506010.0,Javi Hernández,70,h,1993901,0,0,0,1,0,1
531460.0,Rafel Bauzà,70,h,1993901,0,0,0,0,0,1
541854.0,Paco Cortés,832,a,1993901,0,0,0,0,0,1
555136.0,Roger Hinojo,70,h,1993901,0,0,1,0,0,0
578266.0,Nacho Pérez,832,a,1993901,0,0,1,0,1,4
604365.0,Kareem Tunde,832,a,1993901,0,0,0,0,0,0
644082.0,Marc Santos,832,a,1993901,0,0,0,0,0,0
